route_id,route_short_name,route_long_name,P1_avg_headway_min,P2_avg_headway_min,P3_avg_headway_min,P1_share_days_present,P2_share_days_present,P3_share_days_present,diff_P2_vs_P1,diff_P3_vs_P2,diff_P3_vs_P1
124,124,Navy Pier,18.3,25.716666666666665,25.716666666666665,1,1,1,7.416666666666664,0,7.416666666666664
53,53,Pulaski,10.40625,9,9,1,1,1,-1.40625,0,-1.40625
55,55,Garfield,11.216666666666667,9.881481481481481,9.9,1,1,1,-1.3351851851851855,0.018518518518519045,-1.3166666666666664
57,57,Laramie,16.979166666666668,18,18,1,1,1,1.0208333333333321,0,1.0208333333333321
77,77,Belmont,9.625,9,9,1,1,1,-0.625,0,-0.625
93,93,California/Dodge,20.3125,20.555555555555554,20.625,1,1,1,0.24305555555555358,0.06944444444444642,0.3125
82,82,Kimball/Homan,9.291666666666666,9,9,1,1,1,-0.2916666666666661,0,-0.2916666666666661
79,79,79th,6.520833333333333,6.666666666666667,6.666666666666667,1,1,1,0.14583333333333393,0,0.14583333333333393
10,10,Museum of Science & Industry,30,30,NA,1,0.5555555555555556,NA,0,NA,NA
103,103,West 103rd,20,20,20,1,1,1,0,0,0
106,106,East 103rd,15,15,15,1,1,1,0,0,0
108,108,Halsted/95th,180,180,180,1,1,1,0,0,0
11,11,Lincoln,20,20,20,1,1,1,0,0,0
111,111,111th/King Drive,15,15,15,1,1,1,0,0,0
111A,111A,Pullman Shuttle,20,20,20,1,1,1,0,0,0
112,112,Vincennes/111th,18,18,18,1,1,1,0,0,0
115,115,Pullman/115th,15,15,15,1,1,1,0,0,0
119,119,Michigan/119th,12,12,12,1,1,1,0,0,0
12,12,Roosevelt,10.583333333333334,10.583333333333334,10.583333333333334,1,1,1,0,0,0
126,126,Jackson,16.366666666666667,16.366666666666667,16.366666666666667,1,1,1,0,0,0
130,130,Museum Campus,16.366666666666667,16.366666666666667,NA,1,0.5555555555555556,NA,0,NA,NA
146,146,Inner Lake Shore/Michigan Express,10,10,10,1,1,1,0,0,0
147,147,Outer DuSable Lake Shore Express,15,15,15,1,1,1,0,0,0
15,15,Jeffery Local,15,15,15,1,1,1,0,0,0
151,151,Sheridan,12,12,12,1,1,1,0,0,0
152,152,Addison,16.366666666666667,16.366666666666667,16.366666666666667,1,1,1,0,0,0
155,155,Devon,12,12,12,1,1,1,0,0,0
156,156,LaSalle,20,20,20,1,1,1,0,0,0
157,157,Streeterville/Taylor,16.366666666666667,16.366666666666667,16.366666666666667,1,1,1,0,0,0
171,171,U. of Chicago/Hyde Park,25.716666666666665,25.716666666666665,25.716666666666665,0.375,1,1,0,0,0
172,172,U. of Chicago/Kenwood,15,15,15,0.375,1,1,0,0,0
18,18,16th/18th,20,20,20,1,1,1,0,0,0
20,20,Madison,8.566666666666666,8.566666666666666,8.566666666666666,1,1,1,0,0,0
201,201,Central/Ridge,30,30,30,1,1,1,0,0,0
21,21,Cermak,15,15,15,1,1,1,0,0,0
22,22,Clark,10.583333333333334,10.583333333333334,10.583333333333334,1,1,1,0,0,0
24,24,Wentworth,20,20,20,1,1,1,0,0,0
26,26,South Shore Express,16.366666666666667,16.366666666666667,16.366666666666667,1,1,1,0,0,0
28,28,Stony Island,15,15,15,1,1,1,0,0,0
29,29,State,12.85,12.85,12.85,1,1,1,0,0,0
3,3,King Drive,11.25,11.25,11.25,1,1,1,0,0,0
30,30,South Chicago,20,20,20,1,1,1,0,0,0
31,31,31st,30,30,30,1,1,1,0,0,0
34,34,South Michigan,10,10,10,1,1,1,0,0,0
35,35,31st/35th,20,20,20,1,1,1,0,0,0
36,36,Broadway,12.85,12.85,12.85,1,1,1,0,0,0
37,37,Sedgwick,25.716666666666665,25.716666666666665,25.716666666666665,1,1,1,0,0,0
39,39,Pershing,25.716666666666665,25.716666666666665,25.716666666666665,1,1,1,0,0,0
4,4,Cottage Grove,9.466666666666667,9.466666666666667,9.466666666666667,1,1,1,0,0,0
43,43,43rd,18,18,18,1,1,1,0,0,0
44,44,Wallace/Racine,20,20,20,1,1,1,0,0,0
47,47,47th,9.466666666666667,9.466666666666667,9.466666666666667,1,1,1,0,0,0
48,48,South Damen,180,180,180,1,1,1,0,0,0
49,49,Western,7.833333333333333,7.833333333333333,7.833333333333333,1,1,1,0,0,0
49B,49B,North Western,11.25,11.25,11.25,1,1,1,0,0,0
50,50,Damen,15,15,15,1,1,1,0,0,0
51,51,51st,18,18,18,1,1,1,0,0,0
52,52,Kedzie,13.85,13.85,13.85,1,1,1,0,0,0
52A,52A,South Kedzie,18,18,18,1,1,1,0,0,0
53A,53A,South Pulaski,15,15,15,1,1,1,0,0,0
54,54,Cicero,9.466666666666667,9.466666666666667,9.466666666666667,1,1,1,0,0,0
54A,54A,North Cicero/Skokie Blvd.,180,180,180,1,1,1,0,0,0
54B,54B,South Cicero,22.5,22.5,22.5,1,1,1,0,0,0
55N,55N,55th/Narragansett,22.5,22.5,22.5,1,1,1,0,0,0
56,56,Milwaukee,16.366666666666667,16.366666666666667,16.366666666666667,1,1,1,0,0,0
59,59,59th/61st,20,20,20,1,1,1,0,0,0
6,6,Jackson Park Express,12,12,12,1,1,1,0,0,0
60,60,Blue Island/26th,10,10,10,1,1,1,0,0,0
62,62,Archer,15,15,15,1,1,1,0,0,0
62H,62H,Archer/Harlem,30,30,30,1,1,1,0,0,0
63,63,63rd,7.833333333333333,7.833333333333333,7.833333333333333,1,1,1,0,0,0
63W,63W,West 63rd,25.716666666666665,25.716666666666665,25.716666666666665,1,1,1,0,0,0
65,65,Grand,20,20,20,1,1,1,0,0,0
66,66,Chicago,6.916666666666667,6.916666666666667,6.916666666666667,1,1,1,0,0,0
67,67,67th/69th/71st,10,10,10,1,1,1,0,0,0
68,68,Northwest Highway,25.716666666666665,25.716666666666665,25.716666666666665,1,1,1,0,0,0
7,7,Harrison,15,15,15,1,1,1,0,0,0
70,70,Division,12,12,12,1,1,1,0,0,0
71,71,71st/South Shore,12,12,12,1,1,1,0,0,0
72,72,North,10.583333333333334,10.583333333333334,10.583333333333334,1,1,1,0,0,0
73,73,Armitage,18,18,18,1,1,1,0,0,0
74,74,Fullerton,12,12,12,1,1,1,0,0,0
75,75,74th/75th,12,12,12,1,1,1,0,0,0
76,76,Diversey,15,15,15,1,1,1,0,0,0
78,78,Montrose,16.366666666666667,16.366666666666667,16.366666666666667,1,1,1,0,0,0
8,8,Halsted,10,10,10,1,1,1,0,0,0
80,80,Irving Park,12,12,12,1,1,1,0,0,0
81,81,Lawrence,10,10,10,1,1,1,0,0,0
81W,81W,West Lawrence,25.716666666666665,25.716666666666665,25.716666666666665,1,1,1,0,0,0
84,84,Peterson,15,15,15,1,1,1,0,0,0
85,85,Central,15,15,15,1,1,1,0,0,0
85A,85A,North Central,20,20,20,1,1,1,0,0,0
86,86,Narragansett/Ridgeland,20,20,20,1,1,1,0,0,0
87,87,87th,11.25,11.25,11.25,1,1,1,0,0,0
88,88,Higgins,25.716666666666665,25.716666666666665,25.716666666666665,1,1,1,0,0,0
8A,8A,South Halsted,16.366666666666667,16.366666666666667,16.366666666666667,1,1,1,0,0,0
9,9,Ashland,9,9,9,1,1,1,0,0,0
90,90,Harlem,20,20,20,1,1,1,0,0,0
91,91,Austin,16.366666666666667,16.366666666666667,16.366666666666667,1,1,1,0,0,0
92,92,Foster,15,15,15,1,1,1,0,0,0
94,94,California,13.85,13.85,13.85,1,1,1,0,0,0
95,95,95th,9.466666666666667,9.466666666666667,9.466666666666667,1,1,1,0,0,0
96,96,Lunt,30,30,30,1,1,1,0,0,0
97,97,Skokie,20,20,20,1,1,1,0,0,0
Blue,NA,Blue Line,6,6,6,1,1,1,0,0,0
Brn,NA,Brown Line,7.5,7.5,7.5,1,1,1,0,0,0
G,NA,Green Line,10,10,10,1,1,1,0,0,0
J14,J14,Jeffery Jump,10,10,10,1,1,1,0,0,0
Org,NA,Orange Line,8.566666666666666,8.566666666666666,8.566666666666666,1,1,1,0,0,0
P,NA,Purple Line,10,10,10,1,1,1,0,0,0
Pink,NA,Pink Line,10,10,10,1,1,1,0,0,0
Red,NA,Red Line,6,6,6,1,1,1,0,0,0
X4,X4,Cottage Grove Express,180,180,180,1,1,1,0,0,0
X9,X9,Ashland Express,60,60,60,1,1,1,0,0,0
Y,NA,Yellow Line,15,15,15,1,1,1,0,0,0
